ad_id;Street;City_Code
44;Schönbrunn; Dachau (85221)
45;Dachau; Dachau (85221)
48;Schönbrunn; Dachau (85221)
73;Herzog-Albrechtstr. 72; Dachau (85221)
94;Schönbrunn; Röhrmoos (85244)
99;Dom-Esch; Euskirchen-Dom-Esch (53881)
260;Gräselberg; Wiesbaden (65187)
298;Gräselberg; Wiesbaden (65187)
653;Avenue Charles de Gaulle 10 d;Berlin
654;Buschkrugallee 80; Berlin (12359)
655;Grindelwaldweg XX; Berlin (13407)
656;Kirchweg 53; Berlin (14129)
657;Prenzlauer Berg; Berlin (10437)
658;Steglitz; Berlin (12169)
659;Schweidnitzer Strasse 8A; Berlin (10709)
660;Charlottenburg; Berlin (10589)
661;Tempelhof; Berlin (12099)
662;Wilhelmstadt; Berlin (13587)
663;Märkisches Viertel; Berlin (13435)
664;Wittenau; Berlin (13403)
665;Bohnsdorf; Berlin (12526)
666;Bohnsdorf; Berlin-Bohnsdorf (12526)
667;Bohnsdorf; Berlin-Bohnsdorf (12526)
668;Westend; Berlin (14193)
669;Friedrichshain; Berlin (10247)
670;Charlottenburg; Berlin (14059)
671;Neukölln; Berlin (12047)
672;Westend; Berlin-Wilmersdorf (14193)
673;Hellersdorf; Berlin Marzahn-Hellersdorf (12683)
674;Zehlendorf; Berlin Steglitz-Zehlendorf (14129)
675;Mariendorf; Berlin Tempelhof-Schöneberg (12099)
676;Wilhelmstadt; Berlin-Spandau (13585)
677;Bohnsdorf; Berlin-Bohnsdorf (12526)
678;Wartenberg; Berlin (13059)
679;Lichtenrade; Berlin (12309)
680;Neukölln; Berlin (12051)
681;Eckertstrasse 17; Berlin (10249)
682;Eckertstrasse 17; Berlin (10249)
683;Eckertstrasse 17; Berlin (10249)
684;Eckertstrasse 17; Berlin (10249)
685;Grunberger Strasse 52; Berlin (10245)
686;Grunberger Strasse 52; Berlin (10245)
687;Grunberger Strasse 52; Berlin (10245)
688;Grunberger Strasse 52; Berlin (10245)
689;Grunberger Strasse 52; Berlin (10245)
690;Grunberger Strasse 52; Berlin (10245)
691;Grunberger Strasse 52; Berlin (10245)
692;Grunberger Strasse 52; Berlin (10245)
693;Grunberger Strasse 52; Berlin (10245)
694;Palisadenstrasse 58; Berlin (10243)
695;Palisadenstrasse 58; Berlin (10243)
696;Grossbeerenstrasse 46; Berlin (10965)
697;Grossbeerenstrasse 46; Berlin (10965)
698;Grossbeerenstrasse 46; Berlin (10965)
699;Grossbeerenstrasse 46; Berlin (10965)
700;Grossbeerenstrasse 46; Berlin (10965)
701;Grossbeerenstrasse 45; Berlin (10965)
702;Grossbeerenstrasse 44; Berlin (10965)
703;Grossbeerenstrasse 43; Berlin (10965)
704;Grossbeerenstrasse 43; Berlin (10965)
705;Wilmersdorf; Berlin (10719)
706;Charlottenburg; Berlin (10719)
707;Lichterfelde; Berlin (14167)
708;Mahlsdorf; Berlin (12623)
709;Heiligensee; Berlin Heiligensee (13503)
710;Schöneberg; Berlin (12249)
711;Burgerstrasse 53; Berlin (12347)
712;Charlottenburg; Berlin (10629)
713;Mahlsdorf; Berlin (12623)
714;Muggelheim; Berlin-Muggelheim (12559)
715;Muggelheim; Berlin-Muggelheim (12559)
716;Muggelheim; Berlin-Muggelheim (12559)
717;Muggelheim; Berlin-Muggelheim (12559)
718;Muggelheim; Berlin-Muggelheim (12559)
719;Weissensee; Berlin / Weissensee (13088)
720;Lichtenrade; Berlin (12307)
721;Wiesbadener Strasse 56; Berlin (14197)
722;Alt-Hohenschönhausen; Berlin (13053)
723;Tempelhof; Berlin (12101)
724;Lankwitz; Berlin (12247)
725;Köpenick; Berlin (12557)
726;Bogenstrasse 21; Berlin (12207)
727;Bogenstrasse 21; Berlin (12207)
728;Frohnau; Berlin (13465)
729;Blankenburg; Berlin / Pankow (13129)
730;Rahnsdorf; Berlin / Hessenwinkel (12589)
731;Konradshöhe; Berlin (13505)
732;Lichtenberg; Berlin (10365)
733;Lichterfelde; Berlin (12203)
734;Birkenstrasse 12A; Berlin (10559)
735;Hermsdorf; Berlin (13465)
736;Lichtenrade; Berlin (12309)
737;Westend; Berlin (14052)
738;Boddinstrasse 20; Berlin (12053)
739;Konradshöhe; Berlin (13505)
740;Max-Beer-Strasse 7; Berlin (10119)
741;Max-Beer-Strasse 7; Berlin (10119)
742;Max-Beer-Strasse 7; Berlin (10119)
743;Wannsee; Berlin (14109)
744;Lichterfelde; Berlin (12207)
745;Lichterfelde; Berlin (12209)
