city_id;city_score;;
4095;6,297;;
1050;6,185;;
2846;6,11;;
447;6,012;;
4040;5,645;;
3764;5,623;;
2150;5,571;;
5521;5,499;;
1219;5,415;;
3985;5,259;;
3839;5,188;;
4173;5,076;;
4067;5,041;;
3758;5,011;;
1610;5,001;;
3336;4,944;;
1132;4,887;;
1585;4,861;;
4050;4,782;;
4047;4,737;;
4080;4,729;;
3745;4,675;;
3841;4,673;;
4585;4,631;;
2317;4,59;;
2195;4,564;;
4368;4,539;;
4825;4,513;;
316;4,479;;
3998;4,467;;
4893;4,417;;
3955;4,415;;
2950;4,374;;
3826;4,341;;
4694;4,338;;
235;4,324;;
2791;4,281;;
2793;4,261;;
4523;4,224;;
3922;4,188;;
3341;4,155;;
3978;4,138;;
4804;4,124;;
3796;4,118;;
3095;4,109;;
3358;4,029;;
4558;4,011;;
1306;3,984;;
4549;3,98;;
2680;3,952;;
4044;3,903;;
4693;3,833;;
4013;3,824;;
4398;3,804;;
2384;3,783;;
1879;3,766;;
4144;3,753;;
4054;3,745;;
4079;3,744;;
3763;3,737;;
3377;3,73;;
4004;3,718;;
2385;3,712;;
2659;3,694;;
2244;3,674;;
3757;3,658;;
4031;3,646;;
2790;3,642;;
4673;3,642;;
4692;3,642;;
3371;3,638;;
2918;3,634;;
3759;3,634;;
3246;3,605;;
3825;3,591;;
2767;3,587;;
3285;3,587;;
4064;3,581;;
3345;3,574;;
4532;3,541;;
1239;3,538;;
1280;3,528;;
4595;3,527;;
1414;3,485;;
3844;3,437;;
3105;3,43;;
4929;3,425;;
2554;3,417;;
5448;3,412;;
4039;3,397;;
5066;3,379;;
4068;3,368;;
2286;3,336;;
4049;3,336;;
4009;3,322;;
4811;3,297;;
4018;3,291;;
3850;3,272;;
3330;3,269;;
2245;3,264;;
5445;3,228;;
4032;3,225;;
4046;3,217;;
2616;3,204;;
4191;3,177;;
4034;3,174;;
3846;3,155;;
4083;3,155;;
4571;3,144;;
2153;3,113;;
5372;3,11;;
4051;3,08;;
3946;3,079;;
3370;3,076;;
2905;3,074;;
3384;3,069;;
3004;3,053;;
4077;3,042;;
54;3,029;;
2174;3,022;;
4010;3,02;;
4652;3,007;;
5382;3,005;;
2581;2,989;;
3561;2,987;;
5080;2,979;;
4069;2,977;;
4230;2,974;;
490;2,961;;
3986;2,96;;
1737;2,957;;
36;2,951;;
1104;2,942;;
3644;2,936;;
3146;2,93;;
4881;2,929;;
2826;2,926;;
3383;2,924;;
3279;2,92;;
4066;2,906;;
4897;2,905;;
3797;2,9;;
2472;2,892;;
3819;2,885;;
1753;2,879;;
4023;2,863;;
3984;2,862;;
3861;2,856;;
2316;2,845;;
3979;2,835;;
4075;2,822;;
3954;2,818;;
3803;2,815;;
397;2,807;;
5243;2,801;;
3831;2,772;;
3843;2,771;;
2750;2,76;;
4572;2,754;;
3588;2,743;;
3847;2,733;;
3083;2,717;;
4151;2,71;;
2784;2,704;;
4028;2,699;;
3491;2,697;;
4731;2,696;;
4078;2,671;;
3818;2,67;;
2294;2,653;;
4221;2,642;;
4135;2,635;;
4568;2,632;;
1428;2,629;;
4942;2,628;;
4038;2,618;;
4907;2,614;;
3964;2,609;;
4428;2,603;;
4131;2,591;;
1513;2,579;;
3981;2,578;;
1963;2,573;;
2305;2,567;;
5339;2,559;;
4660;2,558;;
5251;2,556;;
4696;2,554;;
4082;2,531;;
3355;2,526;;
2789;2,516;;
2736;2,509;;
3873;2,507;;
3953;2,494;;
4029;2,465;;
1639;2,434;;
3435;2,432;;
3947;2,413;;
2261;2,411;;
2756;2,408;;
4063;2,407;;
2802;2,386;;
1436;2,383;;
3359;2,373;;
2357;2,362;;
4045;2,324;;
4584;2,304;;
3081;2,299;;
3169;2,293;;
4059;2,272;;
3194;2,271;;
19;2,264;;
5100;2,262;;
3046;2,259;;
4655;2,254;;
3356;2,253;;
2502;2,252;;
4559;2,218;;
4056;2,188;;
3015;2,173;;
4821;2,161;;
2923;2,149;;
4030;2,079;;
4008;2,028;;
5500;2,02;;
5338;2,006;;
5483;2,006;;
3369;1,99;;
3290;1,984;;
4042;1,984;;
4794;1,814;;
3283;1,654;;
;;;
;;;
;;;
;those which have no city score;;
5528;Greifswald;;Berlin
5589;Neubrandenburg;;Erfurt
5631;Eberswalde;;Potsdam
5707;Falkensee;;Regensburg
5717;Potsdam;;Erlangen
572;Straubing;;Neubrandenburg
5759;Berlin;;Langenfeld
628;Passau;;Greifswald
635;Schorndorf;;Passau
65;Erfurt;;Amberg
71;Suhl;;Straubing
719;Regensburg;;Suhl
814;Amberg;;Eberswalde
910;Langenfeld;;Schorndorf
996;Erlangen;;Falkensee
